id,name_zh,name_en,formal_en,type,sovereignty
奥地利,奧地利,Austria,Republic of Austria,Sovereign country,Austria
伊拉克,伊拉克,Iraq,Republic of Iraq,Sovereign country,Iraq
意大利,義大利,Italy,Italian Republic,Sovereign country,Italy
瑞士,瑞士,Switzerland,Swiss Confederation,Sovereign country,Switzerland
伊朗,伊朗,Iran,Islamic Republic of Iran,Sovereign country,Iran
荷兰,荷蘭,Netherlands,Kingdom of the Netherlands,Country,Netherlands
列支敦士登,列支敦斯登,Liechtenstein,Principality of Liechtenstein,Sovereign country,Liechtenstein
科特迪瓦,象牙海岸,Ivory Coast,Republic of Ivory Coast,Sovereign country,Ivory Coast
马里,馬利共和國,Mali,Republic of Mali,Sovereign country,Mali
塞内加尔,塞內加爾,Senegal,Republic of Senegal,Sovereign country,Senegal
尼日利亚,奈及利亞,Nigeria,Federal Republic of Nigeria,Sovereign country,Nigeria
贝宁,貝南,Benin,Republic of Benin,Sovereign country,Benin
安哥拉,安哥拉,Angola,People's Republic of Angola,Sovereign country,Angola
克罗地亚,克羅地亞,Croatia,Republic of Croatia,Sovereign country,Croatia
斯洛文尼亚,斯洛維尼亞,Slovenia,Republic of Slovenia,Sovereign country,Slovenia
卡塔尔,卡達,Qatar,State of Qatar,Sovereign country,Qatar
沙特阿拉伯,沙烏地阿拉伯,Saudi Arabia,Kingdom of Saudi Arabia,Sovereign country,Saudi Arabia
博茨瓦纳,波札那,Botswana,Republic of Botswana,Sovereign country,Botswana
津巴布韦,辛巴威,Zimbabwe,Republic of Zimbabwe,Sovereign country,Zimbabwe
巴基斯坦,巴基斯坦,Pakistan,Islamic Republic of Pakistan,Sovereign country,Pakistan
保加利亚,保加利亞,Bulgaria,Republic of Bulgaria,Sovereign country,Bulgaria
泰国,泰國,Thailand,Kingdom of Thailand,Sovereign country,Thailand
圣马力诺,聖馬力諾,San Marino,Republic of San Marino,Sovereign country,San Marino
海地,海地,Haiti,Republic of Haiti,Sovereign country,Haiti
多米尼加,多明尼加,Dominican Republic,Dominican Republic,Sovereign country,Dominican Republic
乍得,查德,Chad,Republic of Chad,Sovereign country,Chad
科威特,科威特,Kuwait,State of Kuwait,Sovereign country,Kuwait
萨尔瓦多,薩爾瓦多,El Salvador,Republic of El Salvador,Sovereign country,El Salvador
危地马拉,瓜地馬拉,Guatemala,Republic of Guatemala,Sovereign country,Guatemala
东帝汶,東帝汶,East Timor,Democratic Republic of Timor-Leste,Sovereign country,East Timor
文莱,汶萊,Brunei,Negara Brunei Darussalam,Sovereign country,Brunei
摩纳哥,摩納哥,Monaco,Principality of Monaco,Sovereign country,Monaco
阿尔及利亚,阿爾及利亞,Algeria,People's Democratic Republic of Algeria,Sovereign country,Algeria
莫桑比克,莫三比克,Mozambique,Republic of Mozambique,Sovereign country,Mozambique
斯威士兰,史瓦帝尼,Eswatini,Kingdom of eSwatini,Sovereign country,eSwatini
布隆迪,蒲隆地,Burundi,Republic of Burundi,Sovereign country,Burundi
卢旺达,盧旺達,Rwanda,Republic of Rwanda,Sovereign country,Rwanda
缅甸,緬甸,Myanmar,Republic of the Union of Myanmar,Sovereign country,Myanmar
孟加拉国,孟加拉,Bangladesh,People's Republic of Bangladesh,Sovereign country,Bangladesh
安道尔,安道爾,Andorra,Principality of Andorra,Sovereign country,Andorra
阿富汗,阿富汗,Afghanistan,Islamic State of Afghanistan,Sovereign country,Afghanistan
黑山,蒙特內哥羅,Montenegro,Montenegro,Sovereign country,Montenegro
波斯尼亚和黑塞哥维那,波士尼亞與赫塞哥維納,Bosnia and Herzegovina,Bosnia and Herzegovina,Sovereign country,Bosnia and Herzegovina
乌干达,烏干達,Uganda,Republic of Uganda,Sovereign country,Uganda
古巴,古巴,Cuba,Republic of Cuba,Sovereignty,Cuba
洪都拉斯,宏都拉斯,Honduras,Republic of Honduras,Sovereign country,Honduras
厄瓜多尔,厄瓜多爾,Ecuador,Republic of Ecuador,Sovereign country,Ecuador
哥伦比亚,哥倫比亞,Colombia,Republic of Colombia,Sovereign country,Colombia
巴拉圭,巴拉圭,Paraguay,Republic of Paraguay,Sovereign country,Paraguay
巴西岛,巴西島,Brazilian Island,,Indeterminate,Brazilian Island
葡萄牙,葡萄牙,Portugal,Portuguese Republic,Sovereign country,Portugal
摩尔多瓦,摩爾多瓦,Moldova,Republic of Moldova,Sovereign country,Moldova
土库曼斯坦,土庫曼,Turkmenistan,Turkmenistan,Sovereign country,Turkmenistan
约旦,約旦,Jordan,Hashemite Kingdom of Jordan,Sovereign country,Jordan
尼泊尔,尼泊爾,Nepal,Nepal,Sovereign country,Nepal
莱索托,賴索托,Lesotho,Kingdom of Lesotho,Sovereign country,Lesotho
喀麦隆,喀麥隆,Cameroon,Republic of Cameroon,Sovereign country,Cameroon
加蓬,加彭,Gabon,Gabonese Republic,Sovereign country,Gabon
尼日尔,尼日,Niger,Republic of Niger,Sovereign country,Niger
布基纳法索,布基納法索,Burkina Faso,Burkina Faso,Sovereign country,Burkina Faso
多哥,多哥,Togo,Togolese Republic,Sovereign country,Togo
加纳,迦納,Ghana,Republic of Ghana,Sovereign country,Ghana
几内亚比绍,幾內亞比索,Guinea-Bissau,Republic of Guinea-Bissau,Sovereign country,Guinea-Bissau
美国,美國,United States of America,United States of America,Country,United States of America
加拿大,加拿大,Canada,Canada,Sovereign country,Canada
墨西哥,墨西哥,Mexico,United Mexican States,Sovereign country,Mexico
伯利兹,貝里斯,Belize,Belize,Sovereign country,Belize
巴拿马,巴拿馬,Panama,Republic of Panama,Sovereign country,Panama
委内瑞拉,委內瑞拉,Venezuela,Bolivarian Republic of Venezuela,Sovereign country,Venezuela
巴布亚新几内亚,巴布亞紐幾內亞,Papua New Guinea,Independent State of Papua New Guinea,Sovereign country,Papua New Guinea
埃及,埃及,Egypt,Arab Republic of Egypt,Sovereign country,Egypt
也门,葉門,Yemen,Republic of Yemen,Sovereign country,Yemen
毛里塔尼亚,茅利塔尼亞,Mauritania,Islamic Republic of Mauritania,Sovereign country,Mauritania
肯尼亚,肯亞,Kenya,Republic of Kenya,Sovereign country,Kenya
赤道几内亚,赤道幾內亞,Equatorial Guinea,Republic of Equatorial Guinea,Sovereign country,Equatorial Guinea
冈比亚,甘比亞,The Gambia,Republic of the Gambia,Sovereign country,Gambia
梵蒂冈,梵蒂岡,Vatican City,State of the Vatican City,Sovereign country,Vatican
比尔泰维勒,比爾塔威爾,Bir Tawil,,Indeterminate,Bir Tawil
南极洲,南極洲,Antarctica,,Indeterminate,Antarctica
澳大利亚,澳大利亞,Australia,Commonwealth of Australia,Country,Australia
denmark-out,denmark-out,,,,
斐济,斐濟,Fiji,Republic of Fiji,Sovereign country,Fiji
新西兰,新西蘭,New Zealand,New Zealand,Country,New Zealand
马达加斯加,馬達加斯加,Madagascar,Republic of Madagascar,Sovereign country,Madagascar
菲律宾,菲律賓,Philippines,Republic of the Philippines,Sovereign country,Philippines
斯里兰卡,斯里蘭卡,Sri Lanka,Democratic Socialist Republic of Sri Lanka,Sovereign country,Sri Lanka
巴哈马,巴哈馬,The Bahamas,Commonwealth of the Bahamas,Sovereign country,The Bahamas
日本,日本,Japan,Japan,Sovereign country,Japan
冰岛,冰島,Iceland,Republic of Iceland,Sovereign country,Iceland
塞舌尔,塞席爾,Seychelles,Republic of Seychelles,Sovereign country,Seychelles
基里巴斯,吉里巴斯,Kiribati,Republic of Kiribati,Sovereign country,Kiribati
马绍尔群岛,馬紹爾群島,Marshall Islands,Republic of the Marshall Islands,Sovereign country,Marshall Islands
特立尼达和多巴哥,千里達及托巴哥,Trinidad and Tobago,Republic of Trinidad and Tobago,Sovereign country,Trinidad and Tobago
格林纳达,格瑞那達,Grenada,Grenada,Sovereign country,Grenada
圣文森特和格林纳丁斯,聖文森及格瑞那丁,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Sovereign country,Saint Vincent and the Grenadines
巴巴多斯,巴貝多,Barbados,Barbados,Sovereign country,Barbados
圣卢西亚,聖露西亞,Saint Lucia,Saint Lucia,Sovereign country,Saint Lucia
多米尼克,多米尼克,Dominica,Commonwealth of Dominica,Sovereign country,Dominica
us-out,us-out,,,,
安提瓜和巴布达,安地卡及巴布達,Antigua and Barbuda,Antigua and Barbuda,Sovereign country,Antigua and Barbuda
圣基茨和尼维斯,聖克里斯多福與尼維斯,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,Sovereign country,Saint Kitts and Nevis
牙买加,牙買加,Jamaica,Jamaica,Sovereign country,Jamaica
australia-out,australia-out,,,,
毛里求斯,模里西斯,Mauritius,Republic of Mauritius,Sovereign country,Mauritius
科摩罗,葛摩,Comoros,Union of the Comoros,Sovereign country,Comoros
圣多美和普林西比,聖多美普林西比,São Tomé and Príncipe,Democratic Republic of São Tomé and Principe,Sovereign country,São Tomé and Principe
佛得角,維德角,Cape Verde,Republic of Cabo Verde,Sovereign country,Cabo Verde
马耳他,馬耳他,Malta,Republic of Malta,Sovereign country,Malta
奥兰,奧蘭,Åland,Åland Islands,Country,Finland
新加坡,新加坡,Singapore,Republic of Singapore,Sovereign country,Singapore
库克群岛,庫克群島,Cook Islands,,Dependency,New Zealand
汤加,東加,Tonga,Kingdom of Tonga,Sovereign country,Tonga
萨摩亚,薩摩亞,Samoa,Independent State of Samoa,Sovereign country,Samoa
所罗门群岛,索羅門群島,Solomon Islands,,Sovereign country,Solomon Islands
图瓦卢,吐瓦魯,Tuvalu,Tuvalu,Sovereign country,Tuvalu
马尔代夫,馬爾地夫,Maldives,Republic of Maldives,Sovereign country,Maldives
瑙鲁,諾魯,Nauru,Republic of Nauru,Sovereign country,Nauru
密克罗尼西亚联邦,密克羅尼西亞聯邦,Federated States of Micronesia,Federated States of Micronesia,Sovereign country,Federated States of Micronesia
福克兰群岛,福克蘭群島,Falkland Islands,Falkland Islands,Disputed,United Kingdom
瓦努阿图,萬那杜,Vanuatu,Republic of Vanuatu,Sovereign country,Vanuatu
纽埃,紐埃,Niue,,Dependency,New Zealand
帕劳,帛琉,Palau,Republic of Palau,Sovereign country,Palau
巴林,巴林,Bahrain,Kingdom of Bahrain,Sovereign country,Bahrain
十段线,十段线,,,,
中国岛屿,中国岛屿,,,,
china9,china9,,,,
verde-cover,verde-cover,,,,
saotome-cover,saotome-cover,,,,
comoros-cover,comoros-cover,,,,
mauritius-cover,mauritius-cover,,,,
seychelles-cover,seychelles-cover,,,,
Vanuatu-cover,Vanuatu-cover,,,,
Solomon-cover,Solomon-cover,,,,
Fiji-cover,Fiji-cover,,,,
Tuvalu-cover,Tuvalu-cover,,,,
Nauru-cover,Nauru-cover,,,,
Kiribati-cover,Kiribati-cover,,,,
Marshall-cover,Marshall-cover,,,,
Micronesia-cover,Micronesia-cover,,,,
Palau-cover,Palau-cover,,,,
Samoa-cover,Samoa-cover,,,,
Tonga-cover,Tonga-cover,,,,
Niue-cover,Niue-cover,,,,
Cook-cover,Cook-cover,,,,
singapore-cover,singapore-cover,,,,
bahrain-cover,bahrain-cover,,,,
andorra-cover,andorra-cover,,,,
monaco-cover,monaco-cover,,,,
liechtenstein-cover,liechtenstein-cover,,,,
sanmarino-cover,sanmarino-cover,,,,
vatican-cover,vatican-cover,,,,
malta-cover,malta-cover,,,,
barbados-cover,barbados-cover,,,,
vincent-cover,vincent-cover,,,,
grenada-cover,grenada-cover,,,,
trinidad-cover,trinidad-cover,,,,
lucia-cover,lucia-cover,,,,
dominica-cover,dominica-cover,,,,
antigua-cover,antigua-cover,,,,
kitts-cover,kitts-cover,,,,
maldives-cover,maldives-cover,,,,
